CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
R;4;1;5;Campos Racing;Tatuus F4 T -421;Miguel COSTA;9;7;1:42.661;;;163.3;
R;5;2;4;MP Motorsport;Tatuus F4 T -421;Ean EYCKMANS;15;13;1:42.675;+0.014;+0.014;163.3;
R;7;3;81;Campos Racing;Tatuus F4 T -421;Noah MONTEIRO;9;8;1:42.894;+0.233;+0.219;162.9;
R;8;4;48;Drivex;Tatuus F4 T -421;Christopher EL FEGHALI;13;10;1:42.903;+0.242;+0.009;162.9;
R;9;5;12;G4 Racing;Tatuus F4 T -421;Philippe Armand KARRAS;14;12;1:42.914;+0.253;+0.011;162.9;
R;11;6;13;G4 Racing;Tatuus F4 T -421;Jean Paul KARRAS;15;14;1:42.972;+0.311;+0.058;162.8;
R;13;7;3;MP Motorsport;Tatuus F4 T -421;Rocco CORONEL;15;11;1:43.016;+0.355;+0.044;162.7;
R;14;8;2;Campos Racing;Tatuus F4 T -421;Vivek KANTHAN;13;11;1:43.026;+0.365;+0.010;162.7;
R;18;9;6;T-Code by Amtog;Tatuus F4 T -421;Aleix PIÑERA;14;14;1:43.144;+0.483;+0.118;162.5;
R;20;10;25;Monlau Motorsport;Tatuus F4 T -421;Miki BLASCOS;14;13;1:43.299;+0.638;+0.155;162.3;
R;21;11;55;Rodin Motorsport;Tatuus F4 T -421;Emma FELBERMAYR;15;13;1:43.322;+0.661;+0.023;162.3;
R;23;12;39;TC Racing;Tatuus F4 T -421;Santino PANETTA;15;12;1:43.386;+0.725;+0.064;162.2;
R;25;13;10;KCL MP Motorsport;Tatuus F4 T -421;Niklas SCHAUFLER;13;9;1:43.415;+0.754;+0.029;162.1;
R;26;14;70;GRS Team;Tatuus F4 T -421;Aleksandar BOGUNOVIC;13;10;1:43.475;+0.814;+0.060;162.0;
R;27;15;91;Monlau Motorsport;Tatuus F4 T -421;Santiago BAZTARRICA;11;9;1:43.721;+1.060;+0.246;161.6;
R;29;16;57;DXR;Tatuus F4 T -421;Kaiden HIGGINS;12;11;1:43.775;+1.114;+0.054;161.6;
R;30;17;41;DXR;Tatuus F4 T -421;Stepan SUSLOV;13;9;1:43.845;+1.184;+0.070;161.4;
R;32;18;17;Tecnicar by Amtog;Tatuus F4 T -421;Nacho TUÑON;14;14;1:43.891;+1.230;+0.046;161.4;
R;34;19;71;GRS Team;Tatuus F4 T -421;Pablo RICCOBONO;13;10;1:44.352;+1.691;+0.461;160.7;
