NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;2:33.847;0;;1:11.746;0;48.439;0;33.662;0;106.0;2:33.847;09:02:33.847;1:11.746;0:48.439;0:33.662;135.5;Hudson SCHWARTZ;0:00:31.334;;;KCL MP Motorsport;;GF;71.746;48.439;33.662;
1;1;2;1:53.454;0;;35.647;0;45.807;0;32.000;0;147.8;4:27.301;09:04:27.301;0:35.647;0:45.807;0:32.000;193.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.647;45.807;32.000;
1;1;3;1:50.647;0;;32.730;0;43.333;0;34.584;0;151.5;6:17.948;09:06:17.948;0:32.730;0:43.333;0:34.584;223.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;32.730;43.333;34.584;
1;1;4;1:50.290;0;;31.986;0;42.262;0;36.042;0;152.0;8:08.238;09:08:08.238;0:31.986;0:42.262;0:36.042;224.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.986;42.262;36.042;
1;1;5;1:44.480;0;;31.919;0;41.924;0;30.637;0;160.5;9:52.718;09:09:52.718;0:31.919;0:41.924;0:30.637;224.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.919;41.924;30.637;
1;1;6;1:53.466;0;B;31.682;0;41.943;0;39.841;0;147.8;11:46.184;09:11:46.184;0:31.682;0:41.943;0:39.841;224.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.682;41.943;39.841;
1;1;7;4:43.014;0;;3:21.404;0;48.150;0;33.460;0;59.2;16:29.198;09:16:29.198;3:21.404;0:48.150;0:33.460;143.0;Hudson SCHWARTZ;0:02:42.320;;;KCL MP Motorsport;;GF;201.404;48.150;33.460;
1;1;8;1:54.176;0;;35.480;0;44.575;0;34.121;0;146.8;18:23.374;09:18:23.374;0:35.480;0:44.575;0:34.121;184.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;35.480;44.575;34.121;
1;1;9;1:48.834;0;;32.737;0;43.425;0;32.672;0;154.0;20:12.208;09:20:12.208;0:32.737;0:43.425;0:32.672;226.9;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;32.737;43.425;32.672;
1;1;10;1:49.232;0;;31.986;0;42.747;0;34.499;0;153.5;22:01.440;09:22:01.440;0:31.986;0:42.747;0:34.499;228.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.986;42.747;34.499;
1;1;11;1:43.482;0;;31.518;0;41.703;0;30.261;2;162.0;23:44.922;09:23:44.922;0:31.518;0:41.703;0:30.261;227.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.518;41.703;30.261;
1;1;12;1:43.075;2;;31.322;0;41.447;2;30.306;0;162.7;25:27.997;09:25:27.997;0:31.322;0:41.447;0:30.306;227.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.322;41.447;30.306;
1;1;13;1:43.183;0;;31.229;2;41.579;0;30.375;0;162.5;27:11.180;09:27:11.180;0:31.229;0:41.579;0:30.375;229.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.229;41.579;30.375;
1;1;14;1:43.615;0;;31.359;0;41.600;0;30.656;0;161.8;28:54.795;09:28:54.795;0:31.359;0:41.600;0:30.656;227.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.359;41.600;30.656;
1;1;15;1:43.855;0;;31.609;0;41.836;0;30.410;0;161.4;30:38.650;09:30:38.650;0:31.609;0:41.836;0:30.410;227.4;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;31.609;41.836;30.410;
