Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 7;14;09:28:08.556;1;no;no
1;Hudson SCHWARTZ;KCL MP Motorsport;2;Turn 9;14;09:28:17.562;1;no;no
2;Vivek KANTHAN;Campos Racing;1;Turn 9;4;09:11:09.569;3;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 9;9;09:23:20.099;3;no;no
2;Vivek KANTHAN;Campos Racing;3;Turn 9;13;09:30:16.682;3;no;no
3;Rocco CORONEL;MP Motorsport;1;Turn 9;6;09:11:47.296;4;no;no
3;Rocco CORONEL;MP Motorsport;2;Turn 9;13;09:27:29.083;4;no;no
3;Rocco CORONEL;MP Motorsport;3;Turn 9;14;09:29:12.088;4;no;no
3;Rocco CORONEL;MP Motorsport;4;Turn 9;15;09:30:55.422;4;no;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 9;5;09:08:50.099;1;no;no
9;René LAMMERS;MP Motorsport;1;Turn 9;3;09:05:19.034;4;no;no
9;René LAMMERS;MP Motorsport;2;Turn 9;5;09:08:48.893;4;no;no
9;René LAMMERS;MP Motorsport;3;Turn 14 Entry;9;09:20:23.408;4;yes;no
9;René LAMMERS;MP Motorsport;4;Turn 9;12;09:25:05.504;4;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 14 Entry;3;09:08:35.419;3;yes;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 14 Entry;10;09:25:50.065;3;yes;no
10;Niklas SCHAUFLER;KCL MP Motorsport;3;Turn 14 Entry;12;09:29:16.457;3;yes;no
12;Philippe Armand KARRAS;G4 Racing;1;Turn 9;13;09:27:55.687;1;no;no
13;Jean Paul KARRAS;G4 Racing;1;Turn 9;13;09:27:17.622;1;no;no
19;Matus RYBA;Griffin Core;1;Turn 9;8;09:22:37.494;2;no;no
19;Matus RYBA;Griffin Core;2;Turn 9;11;09:27:45.824;2;no;no
25;Miki BLASCOS;Monlau Motorsport;1;Turn 9;12;09:26:56.763;1;no;no
27;Alexander JACOBY;Monlau Motorsport;1;Turn 9;3;09:08:31.561;1;no;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;1;Turn 14 Entry;7;09:17:51.138;2;yes;no
32;Wiktor DOBRZANSKI;Tecnicar by Amtog;2;Turn 14 Entry;13;09:28:33.321;2;yes;no
33;Kirill KUTSKOV;Drivex;1;Turn 9;10;09:26:31.622;1;no;no
37;Filippo FIORENTINO;Drivex;1;Turn 9;4;09:06:58.764;3;no;no
37;Filippo FIORENTINO;Drivex;2;Turn 9;11;09:24:52.162;3;no;no
37;Filippo FIORENTINO;Drivex;3;Turn 9;13;09:28:17.562;3;no;no
41;Stepan SUSLOV;DXR;1;Turn 9;10;09:25:35.501;1;no;no
55;Emma FELBERMAYR;Rodin Motorsport;1;Turn 14 Entry;3;09:07:05.944;2;yes;no
55;Emma FELBERMAYR;Rodin Motorsport;2;Turn 9;14;09:29:18.094;2;no;no
57;Kaiden HIGGINS;DXR;1;Turn 9;3;09:07:30.765;3;no;no
57;Kaiden HIGGINS;DXR;2;Turn 14 Entry;4;09:15:44.472;3;yes;no
57;Kaiden HIGGINS;DXR;3;Turn 9;6;09:18:56.890;3;no;no
70;Aleksandar BOGUNOVIC;GRS Team;1;Turn 7;2;09:04:38.938;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;2;Turn 9;3;09:07:58.101;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;3;Turn 9;6;09:17:19.954;4;no;no
70;Aleksandar BOGUNOVIC;GRS Team;4;Turn 9;12;09:27:51.628;4;no;no
71;Pablo RICCOBONO;GRS Team;1;Turn 9;3;09:07:22.962;3;no;no
71;Pablo RICCOBONO;GRS Team;2;Turn 9;11;09:25:38.309;3;no;no
71;Pablo RICCOBONO;GRS Team;3;Turn 9;12;09:27:22.221;3;no;no
77;Andrej PETROVIC;T-Code by Amtog;1;Turn 9;6;09:10:30.356;2;no;no
77;Andrej PETROVIC;T-Code by Amtog;2;Turn 14 Entry;13;09:28:09.926;2;yes;no
78;Alfio SPINA;TC Racing;1;Turn 9;4;09:07:41.036;2;no;no
78;Alfio SPINA;TC Racing;2;Turn 14 Exit;14;09:30:51.799;2;yes;no
88;Rogerio GROTTA;TC Racing;1;Turn 14 Entry;6;09:19:49.066;1;yes;no
91;Santiago BAZTARRICA;Monlau Motorsport;1;Turn 14 Entry;7;09:23:19.126;2;yes;no
91;Santiago BAZTARRICA;Monlau Motorsport;2;Turn 9;11;09:29:47.385;2;no;no
99;Thomas STRAUVEN;Griffin Core;1;Turn 9;4;09:10:45.889;1;no;no
