CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
R;2;1;4;MP Motorsport;Tatuus F4 T -421;Ean EYCKMANS;10;10;1:58.760;;;141.2;
R;4;2;10;KCL MP Motorsport;Tatuus F4 T -421;Niklas SCHAUFLER;9;9;1:59.068;+0.308;+0.308;140.8;
R;5;3;3;MP Motorsport;Tatuus F4 T -421;Rocco CORONEL;10;10;1:59.098;+0.338;+0.030;140.8;
R;7;4;13;G4 Racing;Tatuus F4 T -421;Jean Paul KARRAS;10;10;1:59.534;+0.774;+0.436;140.3;
R;9;5;39;TC Racing;Tatuus F4 T -421;Santino PANETTA;11;11;1:59.727;+0.967;+0.193;140.0;
R;11;6;2;Campos Racing;Tatuus F4 T -421;Vivek KANTHAN;10;10;2:00.084;+1.324;+0.357;139.6;
R;13;7;70;GRS Team;Tatuus F4 T -421;Aleksandar BOGUNOVIC;10;10;2:00.435;+1.675;+0.351;139.2;
R;15;8;12;G4 Racing;Tatuus F4 T -421;Philippe Armand KARRAS;8;7;2:00.522;+1.762;+0.087;139.1;
R;17;9;41;DXR;Tatuus F4 T -421;Stepan SUSLOV;10;10;2:00.607;+1.847;+0.085;139.0;
R;19;10;5;Campos Racing;Tatuus F4 T -421;Miguel COSTA;9;9;2:00.713;+1.953;+0.106;138.9;
R;20;11;48;Drivex;Tatuus F4 T -421;Christopher EL FEGHALI;9;9;2:00.809;+2.049;+0.096;138.8;
R;22;12;81;Campos Racing;Tatuus F4 T -421;Noah MONTEIRO;9;9;2:01.311;+2.551;+0.502;138.2;
R;23;13;17;Tecnicar by Amtog;Tatuus F4 T -421;Nacho TUÑON;11;11;2:01.325;+2.565;+0.014;138.2;
R;24;14;91;Monlau Motorsport;Tatuus F4 T -421;Santiago BAZTARRICA;10;7;2:01.667;+2.907;+0.342;137.8;
R;25;15;25;Monlau Motorsport;Tatuus F4 T -421;Miki BLASCOS;11;7;2:01.731;+2.971;+0.064;137.7;
R;27;16;71;GRS Team;Tatuus F4 T -421;Pablo RICCOBONO;10;10;2:02.220;+3.460;+0.489;137.2;
R;28;17;57;DXR;Tatuus F4 T -421;Kaiden HIGGINS;10;7;2:02.835;+4.075;+0.615;136.5;
R;31;18;55;Rodin Motorsport;Tatuus F4 T -421;Emma FELBERMAYR;9;9;2:03.325;+4.565;+0.490;135.9;
R;34;19;6;T-Code by Amtog;Tatuus F4 T -421;Aleix PIÑERA;8;4;2:04.241;+5.481;+0.916;134.9;
