NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;2:49.893;0;;1:18.131;0;52.761;0;39.001;0;96.0;2:49.893;08:32:49.893;1:18.131;0:52.761;0:39.001;79.8;Hudson SCHWARTZ;0:00:28.799;;;KCL MP Motorsport;;GF;78.131;52.761;39.001;
1;1;2;2:03.471;0;;37.365;0;49.227;0;36.879;0;135.8;4:53.364;08:34:53.364;0:37.365;0:49.227;0:36.879;216.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;37.365;49.227;36.879;
1;1;3;2:01.879;0;;36.696;0;48.733;0;36.450;0;137.6;6:55.243;08:36:55.243;0:36.696;0:48.733;0:36.450;217.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;36.696;48.733;36.450;
1;1;4;2:02.067;0;;36.226;2;48.696;0;37.145;0;137.3;8:57.310;08:38:57.310;0:36.226;0:48.696;0:37.145;219.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;36.226;48.696;37.145;
1;1;5;2:22.043;0;B;36.556;0;49.478;0;56.009;0;118.0;11:19.353;08:41:19.353;0:36.556;0:49.478;0:56.009;219.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;RF;36.556;49.478;56.009;
1;1;6;12:41.605;0;;11:09.563;0;53.480;0;38.562;0;22.0;24:00.958;08:54:00.958;11:09.563;0:53.480;0:38.562;110.7;Hudson SCHWARTZ;0:10:27.910;;;KCL MP Motorsport;;GF;669.563;53.480;38.562;
1;1;7;2:12.493;0;B;36.310;0;48.043;2;48.140;0;126.5;26:13.451;08:56:13.451;0:36.310;0:48.043;0:48.140;219.5;Hudson SCHWARTZ;;;;KCL MP Motorsport;;RF;36.310;48.043;48.140;
1;1;8;6:29.374;0;;5:00.451;0;48.702;0;40.221;0;43.1;32:42.825;09:02:42.825;5:00.451;0:48.702;0:40.221;102.5;Hudson SCHWARTZ;0:04:14.442;;;KCL MP Motorsport;;GF;300.451;48.702;40.221;
1;1;9;2:01.235;2;;37.048;0;48.297;0;35.890;2;138.3;34:44.060;09:04:44.060;0:37.048;0:48.297;0:35.890;217.7;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;37.048;48.297;35.890;
10;1;1;3:04.448;0;B;1:17.310;0;53.547;0;53.591;0;88.4;3:04.448;08:33:04.448;1:17.310;0:53.547;0:53.591;75.3;Niklas SCHAUFLER;0:00:26.322;R;;KCL MP Motorsport;;GF;77.310;53.547;53.591;
10;1;2;2:31.116;0;;1:03.349;0;50.656;0;37.111;0;110.9;5:35.564;08:35:35.564;1:03.349;0:50.656;0:37.111;151.7;Niklas SCHAUFLER;0:00:24.308;R;;KCL MP Motorsport;;GF;63.349;50.656;37.111;
10;1;3;2:01.504;0;;36.580;0;48.566;0;36.358;0;138.0;7:37.068;08:37:37.068;0:36.580;0:48.566;0:36.358;217.7;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;36.580;48.566;36.358;
10;1;4;1:59.724;0;;35.772;0;47.924;0;36.028;0;140.0;9:36.792;08:39:36.792;0:35.772;0:47.924;0:36.028;219.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;35.772;47.924;36.028;
10;1;5;2:29.899;0;B;40.033;0;57.847;0;52.019;0;111.8;12:06.691;08:42:06.691;0:40.033;0:57.847;0:52.019;219.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;RF;40.033;57.847;52.019;
10;1;6;11:50.936;0;;10:21.425;0;52.693;0;36.818;0;23.6;23:57.627;08:53:57.627;10:21.425;0:52.693;0:36.818;99.9;Niklas SCHAUFLER;0:09:39.266;R;;KCL MP Motorsport;;GF;621.425;52.693;36.818;
10;1;7;2:13.609;0;B;36.043;0;47.883;0;49.683;0;125.5;26:11.236;08:56:11.236;0:36.043;0:47.883;0:49.683;217.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;RF;36.043;47.883;49.683;
10;1;8;7:02.988;0;;5:35.931;0;51.092;0;35.965;0;39.6;33:14.224;09:03:14.224;5:35.931;0:51.092;0:35.965;99.5;Niklas SCHAUFLER;0:04:51.482;R;;KCL MP Motorsport;;GF;335.931;51.092;35.965;
10;1;9;1:59.068;2;;35.515;3;47.797;2;35.756;2;140.8;35:13.292;09:05:13.292;0:35.515;0:47.797;0:35.756;218.6;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;FF;35.515;47.797;35.756;
11;1;1;3:43.518;0;;2:10.747;0;53.664;0;39.107;0;72.9;3:43.518;08:33:43.518;2:10.747;0:53.664;0:39.107;135.0;Reno FRANCOT;0:01:28.522;;;KCL MP Motorsport;;GF;130.747;53.664;39.107;
11;1;2;2:07.559;0;;39.283;0;51.106;0;37.170;0;131.4;5:51.077;08:35:51.077;0:39.283;0:51.106;0:37.170;216.4;Reno FRANCOT;;;;KCL MP Motorsport;;GF;39.283;51.106;37.170;
11;1;3;2:02.514;0;;37.175;0;48.889;0;36.450;0;136.8;7:53.591;08:37:53.591;0:37.175;0:48.889;0:36.450;219.5;Reno FRANCOT;;;;KCL MP Motorsport;;GF;37.175;48.889;36.450;
11;1;4;2:00.644;0;;36.422;0;48.155;0;36.067;0;139.0;9:54.235;08:39:54.235;0:36.422;0:48.155;0:36.067;220.9;Reno FRANCOT;;;;KCL MP Motorsport;;GF;36.422;48.155;36.067;
11;1;5;2:26.458;0;B;41.024;0;54.147;0;51.287;0;114.5;12:20.693;08:42:20.693;0:41.024;0:54.147;0:51.287;214.7;Reno FRANCOT;;;;KCL MP Motorsport;;RF;41.024;54.147;51.287;
11;1;6;11:31.026;0;;10:01.159;0;51.820;0;38.047;0;24.3;23:51.719;08:53:51.719;10:01.159;0:51.820;0:38.047;127.7;Reno FRANCOT;0:09:18.358;;;KCL MP Motorsport;;GF;601.159;51.820;38.047;
11;1;7;1:59.173;0;;35.874;2;47.518;2;35.781;0;140.7;25:50.892;08:55:50.892;0:35.874;0:47.518;0:35.781;220.0;Reno FRANCOT;;;;KCL MP Motorsport;;RF;35.874;47.518;35.781;
