TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;AIR_TEMP_UNIT;TRACK_TEMP_UNIT;PRESSURE_UNIT;WIND_SPEED_UNIT;
1763278219;16/11/2025 07:30:19;11.8889;11.6;93;1029.12;0;224;-1;ºC;ºC;mbar;KPH;
1763278284;16/11/2025 07:31:24;11.8889;11.6;93;1029.19;0;224;-1;ºC;ºC;mbar;KPH;
1763278349;16/11/2025 07:32:29;11.8889;11.6;93;1029.26;0;224;-1;ºC;ºC;mbar;KPH;
1763278414;16/11/2025 07:33:34;11.9444;11.6;93;1029.23;0;224;-1;ºC;ºC;mbar;KPH;
1763278479;16/11/2025 07:34:39;11.9444;11.7;93;1029.29;0;224;-1;ºC;ºC;mbar;KPH;
1763278544;16/11/2025 07:35:44;11.9444;11.7;93;1029.33;0;224;-1;ºC;ºC;mbar;KPH;
1763278609;16/11/2025 07:36:49;11.9444;11.7;93;1029.36;0;224;-1;ºC;ºC;mbar;KPH;
1763278674;16/11/2025 07:37:54;12;11.7;93;1029.36;0;224;-1;ºC;ºC;mbar;KPH;
1763278734;16/11/2025 07:38:54;11.9444;11.7;93;1029.43;0;224;-1;ºC;ºC;mbar;KPH;
1763278799;16/11/2025 07:39:59;12;11.8;93;1029.36;0;224;-1;ºC;ºC;mbar;KPH;
1763278864;16/11/2025 07:41:04;12;11.8;93;1029.39;0;224;-1;ºC;ºC;mbar;KPH;
1763278924;16/11/2025 07:42:04;12.0556;11.8;93;1029.43;0;18;-1;ºC;ºC;mbar;KPH;
1763278989;16/11/2025 07:43:09;12.0556;11.9;94;1029.36;0;18;-1;ºC;ºC;mbar;KPH;
1763279054;16/11/2025 07:44:14;12.1111;11.9;94;1029.39;0;18;-1;ºC;ºC;mbar;KPH;
1763279114;16/11/2025 07:45:14;12.1111;11.9;94;1029.46;0;18;-1;ºC;ºC;mbar;KPH;
1763279179;16/11/2025 07:46:19;12.1667;11.9;94;1029.39;0;17;-1;ºC;ºC;mbar;KPH;
1763279244;16/11/2025 07:47:24;12.1667;11.9;93;1029.39;0;17;-1;ºC;ºC;mbar;KPH;
1763279309;16/11/2025 07:48:29;12.2222;11.9;93;1029.36;0;345;-1;ºC;ºC;mbar;KPH;
1763279374;16/11/2025 07:49:34;12.2222;11.9;93;1029.43;0;342;-1;ºC;ºC;mbar;KPH;
1763279434;16/11/2025 07:50:34;12.2222;11.9;93;1029.43;0;342;-1;ºC;ºC;mbar;KPH;
1763279499;16/11/2025 07:51:39;12.1667;11.9;93;1029.53;0;342;-1;ºC;ºC;mbar;KPH;
1763279564;16/11/2025 07:52:44;12.1667;11.9;93;1029.56;0;342;-1;ºC;ºC;mbar;KPH;
1763279629;16/11/2025 07:53:49;12.1111;11.9;93;1029.5;0;342;-1;ºC;ºC;mbar;KPH;
1763279694;16/11/2025 07:54:54;12.1111;11.9;93;1029.53;0;342;-1;ºC;ºC;mbar;KPH;
1763279759;16/11/2025 07:55:59;12.0556;12;93;1029.46;0;342;-1;ºC;ºC;mbar;KPH;
1763279824;16/11/2025 07:57:04;12.1111;11.9;93;1029.43;0;360;-1;ºC;ºC;mbar;KPH;
1763279889;16/11/2025 07:58:09;12.1111;12;93;1029.5;2.12187;355;-1;ºC;ºC;mbar;KPH;
1763279949;16/11/2025 07:59:09;12.1111;12;93;1029.39;0;355;-1;ºC;ºC;mbar;KPH;
1763280014;16/11/2025 08:00:14;12.1667;12;93;1029.46;0;355;-1;ºC;ºC;mbar;KPH;
1763280079;16/11/2025 08:01:19;12.1667;12;93;1029.46;0;355;-1;ºC;ºC;mbar;KPH;
1763280144;16/11/2025 08:02:24;12.1667;12;93;1029.46;0;355;-1;ºC;ºC;mbar;KPH;
1763280209;16/11/2025 08:03:29;12.1667;12;93;1029.43;0;19;-1;ºC;ºC;mbar;KPH;
