CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
R;2;1;2;Campos Racing;Tatuus F4 T -421;Vivek KANTHAN;14;28:15.113;;;9;1:43.299;162.3;
R;3;2;3;MP Motorsport;Tatuus F4 T -421;Rocco CORONEL;14;28:16.525;+1.412;+1.412;11;1:43.364;162.2;
R;4;3;10;KCL MP Motorsport;Tatuus F4 T -421;Niklas SCHAUFLER;14;28:19.524;+4.411;+2.999;10;1:43.548;161.9;
R;9;4;48;Drivex;Tatuus F4 T -421;Christopher EL FEGHALI;14;28:23.566;+8.453;+4.042;11;1:43.603;161.8;
R;10;5;39;TC Racing;Tatuus F4 T -421;Santino PANETTA;14;28:24.962;+9.849;+1.396;10;1:44.205;160.9;
R;12;6;81;Campos Racing;Tatuus F4 T -421;Noah MONTEIRO;14;28:27.698;+12.585;+2.736;14;1:43.713;161.6;
R;15;7;17;Tecnicar by Amtog;Tatuus F4 T -421;Nacho TUÑON;14;28:31.090;+15.977;+3.392;11;1:44.410;160.6;
R;16;8;5;Campos Racing;Tatuus F4 T -421;Miguel COSTA;14;28:31.383;+16.270;+0.293;12;1:44.177;160.9;
R;17;9;4;MP Motorsport;Tatuus F4 T -421;Ean EYCKMANS;14;28:32.080;+16.967;+0.697;12;1:44.027;161.2;
R;18;10;12;G4 Racing;Tatuus F4 T -421;Philippe Armand KARRAS;14;28:32.409;+17.296;+0.329;12;1:44.279;160.8;
R;20;11;13;G4 Racing;Tatuus F4 T -421;Jean Paul KARRAS;14;28:33.239;+18.126;+0.830;12;1:44.357;160.7;
R;22;12;91;Monlau Motorsport;Tatuus F4 T -421;Santiago BAZTARRICA;14;28:34.130;+19.017;+0.891;12;1:44.441;160.5;
R;23;13;41;DXR;Tatuus F4 T -421;Stepan SUSLOV;14;28:35.284;+20.171;+1.154;12;1:44.771;160.0;
R;24;14;57;DXR;Tatuus F4 T -421;Kaiden HIGGINS;14;28:35.632;+20.519;+0.348;14;1:44.638;160.2;
R;25;15;6;T-Code by Amtog;Tatuus F4 T -421;Aleix PIÑERA;14;28:36.126;+21.013;+0.494;14;1:44.656;160.2;
R;26;16;71;GRS Team;Tatuus F4 T -421;Pablo RICCOBONO;14;28:38.824;+23.711;+2.698;13;1:45.189;159.4;
R;27;17;25;Monlau Motorsport;Tatuus F4 T -421;Miki BLASCOS;14;28:40.485;+25.372;+1.661;9;1:43.852;161.4;
R;33;18;70;GRS Team;Tatuus F4 T -421;Aleksandar BOGUNOVIC;3;6:55.534;11 Laps;11 Laps;3;1:47.068;156.6;
R;34;19;55;Rodin Motorsport;Tatuus F4 T -421;Emma FELBERMAYR;0;;14 Laps;3 Laps;0;;;
