NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
1;1;1;2:55.036;0;;1:14.817;0;1:01.424;0;38.795;0;93.1;2:55.036;12:28:12.206;1:14.817;1:01.424;0:38.795;;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;74.817;61.424;38.795;
1;1;2;2:12.864;0;;41.764;0;53.124;0;37.976;0;126.2;5:07.900;12:30:25.070;0:41.764;0:53.124;0:37.976;152.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;41.764;53.124;37.976;
1;1;3;1:46.885;0;;32.237;0;43.238;0;31.410;0;156.9;6:54.785;12:32:11.955;0:32.237;0:43.238;0:31.410;234.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;32.237;43.238;31.410;
1;1;4;1:51.187;0;;31.540;2;42.349;0;37.298;0;150.8;8:45.972;12:34:03.142;0:31.540;0:42.349;0:37.298;235.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;31.540;42.349;37.298;
1;1;5;2:47.187;0;;45.521;0;1:21.920;0;39.746;0;100.3;11:33.159;12:36:50.329;0:45.521;1:21.920;0:39.746;168.2;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;45.521;81.920;39.746;
1;1;6;2:35.885;0;;40.861;0;1:17.410;0;37.614;0;107.5;14:09.044;12:39:26.214;0:40.861;1:17.410;0:37.614;158.1;Hudson SCHWARTZ;;;;KCL MP Motorsport;;SF;40.861;77.410;37.614;
1;1;7;2:08.262;0;;39.431;0;50.104;0;38.727;0;130.7;16:17.306;12:41:34.476;0:39.431;0:50.104;0:38.727;180.0;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;39.431;50.104;38.727;
1;1;8;1:45.786;0;;31.916;0;42.851;0;31.019;0;158.5;18:03.092;12:43:20.262;0:31.916;0:42.851;0:31.019;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.916;42.851;31.019;
1;1;9;1:44.923;0;;31.604;0;42.133;0;31.186;0;159.8;19:48.015;12:45:05.185;0:31.604;0:42.133;0:31.186;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.604;42.133;31.186;
1;1;10;1:45.582;0;;32.329;0;42.562;0;30.691;2;158.8;21:33.597;12:46:50.767;0:32.329;0:42.562;0:30.691;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;32.329;42.562;30.691;
1;1;11;1:44.386;0;;31.608;0;41.875;0;30.903;0;160.6;23:17.983;12:48:35.153;0:31.608;0:41.875;0:30.903;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.608;41.875;30.903;
1;1;12;1:44.359;2;;31.679;0;41.744;2;30.936;0;160.6;25:02.342;12:50:19.512;0:31.679;0:41.744;0:30.936;232.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.679;41.744;30.936;
1;1;13;1:44.926;0;;31.673;0;41.998;0;31.255;0;159.8;26:47.268;12:52:04.438;0:31.673;0:41.998;0:31.255;233.8;Hudson SCHWARTZ;;;;KCL MP Motorsport;;GF;31.673;41.998;31.255;
1;1;14;1:45.564;0;;32.362;0;42.228;0;30.974;0;158.8;28:32.832;12:53:50.002;0:32.362;0:42.228;0:30.974;231.3;Hudson SCHWARTZ;;;;KCL MP Motorsport;;FF;32.362;42.228;30.974;
10;1;1;2:38.707;0;;58.097;0;59.635;0;40.975;0;102.7;2:38.707;12:27:55.877;0:58.097;0:59.635;0:40.975;;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;SF;58.097;59.635;40.975;
10;1;2;2:22.459;0;;40.712;0;54.167;0;47.580;0;117.7;5:01.166;12:30:18.336;0:40.712;0:54.167;0:47.580;203.4;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;40.712;54.167;47.580;
10;1;3;1:44.670;0;;32.050;0;42.108;0;30.512;0;160.2;6:45.836;12:32:03.006;0:32.050;0:42.108;0:30.512;231.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;32.050;42.108;30.512;
10;1;4;1:47.636;0;;31.468;0;41.768;0;34.400;0;155.8;8:33.472;12:33:50.642;0:31.468;0:41.768;0:34.400;231.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;SF;31.468;41.768;34.400;
10;1;5;2:47.490;0;;46.980;0;1:18.670;0;41.840;0;100.1;11:20.962;12:36:38.132;0:46.980;1:18.670;0:41.840;181.8;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;SF;46.980;78.670;41.840;
10;1;6;2:34.748;0;;39.977;0;1:14.678;0;40.093;0;108.3;13:55.710;12:39:12.880;0:39.977;1:14.678;0:40.093;210.5;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;SF;39.977;74.678;40.093;
10;1;7;2:15.656;0;;38.158;0;52.743;0;44.755;0;123.6;16:11.366;12:41:28.536;0:38.158;0:52.743;0:44.755;205.3;Niklas SCHAUFLER;;R;;KCL MP Motorsport;;GF;38.158;52.743;44.755;
