POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;4;Classified;17;33:04.776;-;-;11;1:43.307;162.3;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Ean;EYCKMANS;;;BEL;;;;;;;
2;11;Classified;17;33:05.003;+0.227;+0.227;8;1:43.003;162.8;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Reno;FRANCOT;;;NLD;;;;;;;
3;23;Classified;17;33:05.628;+0.852;+0.625;8;1:43.009;162.8;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Jan;PRZYROWSKI;;;POL;;;;;;;
4;99;Classified;17;33:05.913;+1.137;+0.285;8;1:43.089;162.6;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Thomas;STRAUVEN;;;BEL;;;;;;;
5;22;Classified;17;33:07.571;+2.795;+1.658;7;1:43.890;161.4;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Juan;COTA;;;ESP;;;;;;;
6;13;Classified;17;33:08.289;+3.513;+0.718;9;1:43.912;161.3;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Jean Paul;KARRAS;;;GRC;KJP;;;;;;
7;2;Classified;17;33:08.499;+3.723;+0.210;12;1:44.652;160.2;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Vivek;KANTHAN;;;USA;;;;;;;
8;46;Classified;17;33:09.330;+4.554;+0.831;9;1:43.896;161.4;Rodin Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Nathan;TYE;;;GBR;;;;;;;
9;10;Classified;17;33:09.505;+4.729;+0.175;12;1:44.284;160.8;KCL MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Niklas;SCHAUFLER;;;AUT;SCF;;;;;;
10;3;Classified;17;33:09.693;+4.917;+0.188;14;1:44.362;160.6;MP Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Rocco;CORONEL;;;NLD;;;;;;;
11;39;Classified;17;33:09.933;+5.157;+0.240;7;1:43.966;161.3;TC Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santino;PANETTA;;;ARG;;;;;;;
12;9;Classified;17;33:10.203;+5.427;+0.270;9;1:43.156;162.5;MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;René;LAMMERS;;;NLD;;;;;;;
13;41;Classified;17;33:10.261;+5.485;+0.058;9;1:44.348;160.7;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Stepan;SUSLOV;;;SWE;;;;;;;
14;70;Classified;17;33:10.454;+5.678;+0.193;8;1:44.520;160.4;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleksandar;BOGUNOVIC;;;SVN;;;;;;;
15;1;Classified;17;33:10.603;+5.827;+0.149;10;1:44.450;160.5;KCL MP Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Hudson;SCHWARTZ;;;USA;SCW;;;;;;
16;57;Classified;17;33:13.038;+8.262;+2.435;11;1:44.492;160.4;DXR;R;;;Tatuus F4 T -421;;;;;;;;;;;;Kaiden;HIGGINS;;;ARE;;;;;;;
17;19;Classified;17;33:13.619;+8.843;+0.581;8;1:44.171;160.9;Griffin Core;;;;Tatuus F4 T -421;;;;;;;;;;;;Matus;RYBA;;;SVK;;;;;;;
18;78;Classified;17;33:16.294;+11.518;+2.675;9;1:44.015;161.2;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Alfio;SPINA;;;ITA;;;;;;;
19;77;Classified;17;33:16.522;+11.746;+0.228;7;1:43.862;161.4;T-Code by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Andrej;PETROVIC;;;SRB;;;;;;;
20;6;Classified;17;33:17.693;+12.917;+1.171;10;1:44.355;160.7;T-Code by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Aleix;PIÑERA;;;ESP;;;;;;;
21;37;Classified;17;33:17.904;+13.128;+0.211;10;1:44.418;160.6;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Filippo;FIORENTINO;;;BRA;;;;;;;
22;17;Classified;17;33:18.061;+13.285;+0.157;10;1:44.487;160.5;Tecnicar by Amtog;R;;;Tatuus F4 T -421;;;;;;;;;;;;Nacho;TUÑON;;;ESP;TUN;;;;;;
23;32;Classified;17;33:18.681;+13.905;+0.620;11;1:44.652;160.2;Tecnicar by Amtog;;;;Tatuus F4 T -421;;;;;;;;;;;;Wiktor;DOBRZANSKI;;;POL;;;;;;;
24;71;Classified;17;33:19.321;+14.545;+0.640;12;1:44.655;160.2;GRS Team;R;;;Tatuus F4 T -421;;;;;;;;;;;;Pablo;RICCOBONO;;;FRA;;;;;;;
25;27;Classified;17;33:19.913;+15.137;+0.592;11;1:44.705;160.1;Monlau Motorsport;;;;Tatuus F4 T -421;;;;;;;;;;;;Alexander;JACOBY;;;BRA;;;;;;;
26;25;Classified;17;33:21.509;+16.733;+1.596;8;1:44.872;159.9;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miki;BLASCOS;;;ESP;BLA;;;;;;
27;48;Classified;17;33:22.749;+17.973;+1.240;8;1:43.714;161.6;Drivex;R;;;Tatuus F4 T -421;;;;;;;;;;;;Christopher;EL FEGHALI;;;LBN;FEG;;;;;;
28;88;Classified;17;33:25.239;+20.463;+2.490;12;1:45.091;159.5;TC Racing;;;;Tatuus F4 T -421;;;;;;;;;;;;Rogerio;GROTTA;;;BRA;;;;;;;
29;91;Classified;17;33:26.913;+22.137;+1.674;14;1:45.675;158.6;Monlau Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Santiago;BAZTARRICA;;;;;;;;;;
30;55;Classified;17;33:36.169;+31.393;+9.256;12;1:44.538;160.4;Rodin Motorsport;R;;;Tatuus F4 T -421;;;;;;;;;;;;Emma;FELBERMAYR;;;AUT;;;;;;;
31;5;Classified;14;26:35.670;3 Laps;3 Laps;7;1:43.879;161.4;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Miguel;COSTA;;;BRA;;;;;;;
32;33;Classified;13;25:12.257;4 Laps;1 Lap;8;1:44.391;160.6;Drivex;;;;Tatuus F4 T -421;;;;;;;;;;;;Kirill;KUTSKOV;;;KGZ;KUT;;;;;;
;81;Not classified;2;26:25.241;;;0;;;Campos Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Noah;MONTEIRO;;;PRT;MOT;;;;;;
;12;Not classified;1;1:54.480;;;0;;;G4 Racing;R;;;Tatuus F4 T -421;;;;;;;;;;;;Philippe Armand;KARRAS;;;GRC;KPA;;;;;;
