Nr;Driver;Team;TL_Nr;Camera;Lap;Time;Total_Infractions;TL_After;TL_PREVIOUS
1;Hudson SCHWARTZ;KCL MP Motorsport;1;Turn 14 Exit;14;17:00:41.981;1;yes;no
2;Vivek KANTHAN;Campos Racing;1;Turn 9;2;16:37:02.995;4;no;no
2;Vivek KANTHAN;Campos Racing;2;Turn 14 Entry;5;16:44:45.867;4;yes;no
2;Vivek KANTHAN;Campos Racing;3;Turn 14 Exit;6;16:46:36.438;4;yes;no
2;Vivek KANTHAN;Campos Racing;4;Turn 14 Exit;9;16:51:50.645;4;yes;no
3;Rocco CORONEL;MP Motorsport;1;T14 Entry;6;16:46:33.192;2;yes;no
3;Rocco CORONEL;MP Motorsport;2;Turn 14 Exit;8;16:50:09.384;2;yes;no
4;Ean EYCKMANS;MP Motorsport;1;Turn 14 Exit;8;16:49:56.832;1;yes;no
5;Miguel COSTA;Campos Racing;1;Turn 7;8;16:49:23.209;2;no;no
5;Miguel COSTA;Campos Racing;2;Turn 14 Exit;9;16:51:49.646;2;yes;no
6;Aleix PIÑERA;T-Code by Amtog;1;Turn 9;5;16:44:23.057;2;no;no
6;Aleix PIÑERA;T-Code by Amtog;2;Turn 14 Exit;12;16:57:11.769;2;yes;no
9;René LAMMERS;MP Motorsport;1;Turn 14 Exit;4;16:43:03.620;5;yes;no
9;René LAMMERS;MP Motorsport;2;Turn 14 Exit;10;16:53:25.779;5;yes;no
9;René LAMMERS;MP Motorsport;3;Turn 14 Exit;11;16:55:09.049;5;yes;no
9;René LAMMERS;MP Motorsport;4;Turn 14 Entry;13;16:58:31.986;5;yes;no
9;René LAMMERS;MP Motorsport;5;Turn 14 Exit;13;16:58:36.752;5;yes;no
10;Niklas SCHAUFLER;KCL MP Motorsport;1;Turn 9;2;16:37:08.075;2;no;no
10;Niklas SCHAUFLER;KCL MP Motorsport;2;Turn 9;9;16:51:19.998;2;no;no
11;Reno FRANCOT;KCL MP Motorsport;1;Turn 14 Exit;4;16:43:03.620;2;yes;no
