Time (s),z_FL (m),z_FR (m),z_RL (m),z_RR (m)
0,-2.70E-06,2.33E-06,1.82E-05,1.49E-05
0.01,-1.09E-05,-4.68E-06,1.35E-05,4.30E-06
0.02,-2.01E-05,-1.32E-05,8.44E-06,-7.11E-06
0.03,-2.98E-05,-2.27E-05,3.75E-06,-1.79E-05
0.04,-3.94E-05,-3.22E-05,-1.53E-07,-2.69E-05
0.05,-4.86E-05,-4.10E-05,-2.96E-06,-3.34E-05
0.06,-5.69E-05,-4.81E-05,-4.62E-06,-3.70E-05
0.07,-6.41E-05,-5.33E-05,-5.28E-06,-3.83E-05
0.08,-7.02E-05,-5.65E-05,-5.30E-06,-3.77E-05
0.09,-7.52E-05,-5.80E-05,-5.08E-06,-3.59E-05
0.1,-7.91E-05,-5.84E-05,-4.96E-06,-3.35E-05
0.11,-8.20E-05,-5.82E-05,-5.08E-06,-3.11E-05
0.12,-8.40E-05,-5.80E-05,-5.52E-06,-2.91E-05
0.13,-8.52E-05,-5.81E-05,-6.27E-06,-2.77E-05
0.14,-8.58E-05,-5.86E-05,-7.23E-06,-2.70E-05
0.15,-8.57E-05,-5.97E-05,-8.17E-06,-2.67E-05
0.16,-8.48E-05,-6.09E-05,-8.77E-06,-2.65E-05
0.17,-8.31E-05,-6.17E-05,-8.75E-06,-2.65E-05
0.18,-8.04E-05,-6.16E-05,-7.95E-06,-2.64E-05
0.19,-7.69E-05,-5.96E-05,-6.47E-06,-2.61E-05
0.2,-7.26E-05,-5.51E-05,-4.64E-06,-2.57E-05
0.21,-6.76E-05,-4.80E-05,-2.87E-06,-2.52E-05
0.22,-6.17E-05,-3.88E-05,-1.41E-06,-2.49E-05
0.23,-5.50E-05,-2.86E-05,-1.66E-07,-2.49E-05
0.24,-4.72E-05,-1.85E-05,1.19E-06,-2.50E-05
0.25,-3.84E-05,-9.31E-06,3.04E-06,-2.50E-05
0.26,-2.86E-05,-1.61E-06,5.61E-06,-2.46E-05
0.27,-1.83E-05,4.68E-06,8.79E-06,-2.36E-05
0.28,-8.00E-06,9.99E-06,1.22E-05,-2.18E-05
0.29,1.70E-06,1.49E-05,1.53E-05,-1.90E-05
0.3,1.06E-05,1.97E-05,1.77E-05,-1.53E-05
0.31,1.88E-05,2.48E-05,1.92E-05,-1.08E-05
0.32,2.68E-05,3.01E-05,1.96E-05,-5.55E-06
0.33,3.49E-05,3.56E-05,1.90E-05,2.43E-07
0.34,4.30E-05,4.14E-05,1.77E-05,6.40E-06
0.35,5.05E-05,4.76E-05,1.61E-05,1.27E-05
0.36,5.70E-05,5.43E-05,1.48E-05,1.91E-05
0.37,6.19E-05,6.14E-05,1.43E-05,2.55E-05
0.38,6.54E-05,6.87E-05,1.52E-05,3.16E-05
0.39,6.78E-05,7.58E-05,1.73E-05,3.72E-05
0.4,6.93E-05,8.23E-05,2.03E-05,4.21E-05
0.41,7.03E-05,8.81E-05,2.32E-05,4.60E-05
0.42,7.06E-05,9.29E-05,2.55E-05,4.87E-05
0.43,7.04E-05,9.66E-05,2.63E-05,4.99E-05
0.44,6.96E-05,9.89E-05,2.56E-05,4.96E-05
0.45,6.82E-05,9.95E-05,2.33E-05,4.80E-05
0.46,6.65E-05,9.81E-05,2.00E-05,4.53E-05
0.47,6.45E-05,9.47E-05,1.62E-05,4.19E-05
0.48,6.25E-05,8.95E-05,1.22E-05,3.80E-05
0.49,6.05E-05,8.31E-05,8.12E-06,3.39E-05
0.5,5.84E-05,7.59E-05,3.84E-06,2.99E-05
0.51,5.57E-05,6.85E-05,-8.27E-07,2.60E-05
0.52,5.17E-05,6.09E-05,-5.91E-06,2.22E-05
