Time (s),z_FL (m),z_FR (m),z_RL (m),z_RR (m)
0,-2.40E-05,-1.16E-05,9.64E-06,-9.01E-05
0.01,-2.36E-05,-1.63E-05,6.65E-06,-8.62E-05
0.02,-2.17E-05,-2.09E-05,3.78E-06,-7.94E-05
0.03,-1.91E-05,-2.54E-05,1.21E-06,-7.05E-05
0.04,-1.64E-05,-3.01E-05,-8.93E-07,-6.07E-05
0.05,-1.43E-05,-3.51E-05,-2.45E-06,-5.10E-05
0.06,-1.28E-05,-4.05E-05,-3.49E-06,-4.22E-05
0.07,-1.17E-05,-4.61E-05,-4.09E-06,-3.48E-05
0.08,-1.04E-05,-5.12E-05,-4.25E-06,-2.85E-05
0.09,-7.96E-06,-5.50E-05,-3.84E-06,-2.23E-05
0.1,-3.66E-06,-5.66E-05,-2.69E-06,-1.55E-05
0.11,2.66E-06,-5.53E-05,-7.56E-07,-7.27E-06
0.12,1.06E-05,-5.10E-05,1.80E-06,2.26E-06
0.13,1.92E-05,-4.43E-05,4.65E-06,1.24E-05
0.14,2.75E-05,-3.62E-05,7.40E-06,2.20E-05
0.15,3.45E-05,-2.79E-05,9.66E-06,3.02E-05
0.16,3.95E-05,-2.04E-05,1.11E-05,3.64E-05
0.17,4.20E-05,-1.42E-05,1.17E-05,4.06E-05
0.18,4.21E-05,-9.64E-06,1.13E-05,4.33E-05
0.19,4.02E-05,-6.23E-06,1.03E-05,4.49E-05
0.2,3.70E-05,-3.50E-06,9.18E-06,4.60E-05
0.21,3.31E-05,-8.42E-07,8.59E-06,4.65E-05
0.22,2.88E-05,2.27E-06,9.04E-06,4.64E-05
0.23,2.39E-05,6.15E-06,1.07E-05,4.56E-05
0.24,1.82E-05,1.09E-05,1.35E-05,4.41E-05
0.25,1.16E-05,1.63E-05,1.67E-05,4.19E-05
0.26,4.21E-06,2.24E-05,1.99E-05,3.92E-05
0.27,-3.21E-06,2.89E-05,2.25E-05,3.60E-05
0.28,-9.83E-06,3.58E-05,2.44E-05,3.24E-05
0.29,-1.50E-05,4.28E-05,2.56E-05,2.82E-05
0.3,-1.83E-05,4.95E-05,2.62E-05,2.35E-05
0.31,-2.00E-05,5.51E-05,2.61E-05,1.85E-05
0.32,-2.05E-05,5.90E-05,2.56E-05,1.33E-05
0.33,-2.02E-05,6.08E-05,2.46E-05,8.47E-06
0.34,-1.97E-05,6.01E-05,2.31E-05,4.51E-06
0.35,-1.92E-05,5.70E-05,2.11E-05,1.98E-06
0.36,-1.88E-05,5.19E-05,1.83E-05,1.22E-06
0.37,-1.81E-05,4.51E-05,1.46E-05,2.20E-06
0.38,-1.71E-05,3.74E-05,9.94E-06,4.49E-06
0.39,-1.58E-05,2.93E-05,4.51E-06,7.43E-06
0.4,-1.47E-05,2.12E-05,-1.34E-06,1.03E-05
0.41,-1.44E-05,1.36E-05,-7.14E-06,1.25E-05
0.42,-1.51E-05,6.86E-06,-1.25E-05,1.37E-05
0.43,-1.71E-05,1.30E-06,-1.70E-05,1.41E-05
0.44,-1.98E-05,-2.86E-06,-2.09E-05,1.40E-05
0.45,-2.24E-05,-5.45E-06,-2.41E-05,1.38E-05
0.46,-2.39E-05,-6.40E-06,-2.67E-05,1.38E-05
0.47,-2.39E-05,-5.83E-06,-2.87E-05,1.42E-05
0.48,-2.22E-05,-4.11E-06,-3.00E-05,1.49E-05
0.49,-1.87E-05,-1.73E-06,-3.04E-05,1.56E-05
0.5,-1.41E-05,7.64E-07,-3.00E-05,1.57E-05
0.51,-8.75E-06,2.95E-06,-2.90E-05,1.49E-05
0.52,-3.49E-06,4.64E-06,-2.77E-05,1.27E-05
0.53,1.03E-06,5.87E-06,-2.63E-05,8.94E-06
0.54,4.32E-06,6.77E-06,-2.53E-05,3.83E-06
0.55,6.23E-06,7.42E-06,-2.49E-05,-2.09E-06
0.56,7.10E-06,7.81E-06,-2.51E-05,-8.09E-06
0.57,7.59E-06,7.89E-06,-2.56E-05,-1.34E-05
0.58,8.49E-06,7.64E-06,-2.61E-05,-1.74E-05
0.59,1.05E-05,7.19E-06,-2.60E-05,-1.93E-05
0.6,1.41E-05,6.73E-06,-2.50E-05,-1.90E-05
0.61,1.91E-05,6.37E-06,-2.29E-05,-1.63E-05
0.62,2.53E-05,6.00E-06,-2.00E-05,-1.18E-05
0.63,3.21E-05,5.34E-06,-1.65E-05,-6.61E-06
0.64,3.85E-05,4.08E-06,-1.28E-05,-1.61E-06
0.65,4.40E-05,2.01E-06,-9.41E-06,2.27E-06
0.66,4.76E-05,-8.33E-07,-6.51E-06,4.38E-06
0.67,4.90E-05,-4.19E-06,-4.26E-06,4.39E-06
0.68,4.81E-05,-7.58E-06,-2.60E-06,2.27E-06
0.69,4.54E-05,-1.04E-05,-1.28E-06,-1.63E-06
0.7,4.15E-05,-1.22E-05,-6.32E-08,-6.59E-06
0.71,3.71E-05,-1.26E-05,1.20E-06,-1.17E-05
0.72,3.28E-05,-1.16E-05,2.51E-06,-1.59E-05
0.73,2.87E-05,-9.53E-06,3.84E-06,-1.86E-05
0.74,2.49E-05,-7.13E-06,5.17E-06,-1.95E-05
0.75,2.13E-05,-4.90E-06,6.61E-06,-1.87E-05
0.76,1.76E-05,-3.23E-06,8.37E-06,-1.68E-05
0.77,1.38E-05,-2.34E-06,1.07E-05,-1.45E-05
0.78,9.89E-06,-2.33E-06,1.37E-05,-1.26E-05
0.79,6.28E-06,-3.24E-06,1.73E-05,-1.15E-05
0.8,3.28E-06,-5.03E-06,2.09E-05,-1.13E-05
0.81,1.06E-06,-7.67E-06,2.39E-05,-1.18E-05
0.82,-4.61E-07,-1.12E-05,2.59E-05,-1.26E-05
0.83,-1.53E-06,-1.56E-05,2.64E-05,-1.33E-05
0.84,-2.44E-06,-2.10E-05,2.55E-05,-1.38E-05
0.85,-3.38E-06,-2.75E-05,2.34E-05,-1.41E-05
0.86,-4.44E-06,-3.51E-05,2.04E-05,-1.43E-05
0.87,-5.60E-06,-4.31E-05,1.70E-05,-1.42E-05
0.88,-6.85E-06,-5.07E-05,1.35E-05,-1.35E-05
0.89,-8.23E-06,-5.69E-05,9.93E-06,-1.22E-05
0.9,-9.89E-06,-6.09E-05,6.29E-06,-1.02E-05
0.91,-1.20E-05,-6.22E-05,2.45E-06,-7.79E-06
0.92,-1.49E-05,-6.11E-05,-1.51E-06,-5.22E-06
0.93,-1.87E-05,-5.81E-05,-5.41E-06,-2.67E-06
0.94,-2.33E-05,-5.41E-05,-8.99E-06,-2.57E-07
0.95,-2.87E-05,-4.98E-05,-1.20E-05,2.00E-06
0.96,-3.49E-05,-4.57E-05,-1.43E-05,4.16E-06
0.97,-4.16E-05,-4.23E-05,-1.58E-05,6.33E-06
0.98,-4.87E-05,-3.95E-05,-1.66E-05,8.52E-06
0.99,-5.56E-05,-3.74E-05,-1.67E-05,1.06E-05
1,-6.17E-05,-3.54E-05,-1.63E-05,1.21E-05
1.01,-6.69E-05,-3.33E-05,-1.54E-05,1.27E-05
1.02,-7.10E-05,-3.06E-05,-1.42E-05,1.21E-05
1.03,-7.39E-05,-2.72E-05,-1.28E-05,1.03E-05
1.04,-7.55E-05,-2.32E-05,-1.14E-05,7.82E-06
1.05,-7.59E-05,-1.87E-05,-1.01E-05,5.05E-06
1.06,-7.50E-05,-1.37E-05,-8.85E-06,2.38E-06
1.07,-7.26E-05,-8.24E-06,-7.41E-06,-6.04E-08
1.08,-6.88E-05,-2.35E-06,-5.68E-06,-2.20E-06
1.09,-6.34E-05,3.90E-06,-3.60E-06,-3.94E-06
1.1,-5.64E-05,1.04E-05,-1.13E-06,-5.08E-06
