times,Distance,pBrake,rPedal,Zp_FL,Zp_FR,Zp_RL,Zp_RR,Ax,Ay,Car_Speed
0.0,0.0,0.5,102.7,0.0,0.0,0.0,0.0,0.11,0.24,70.6111111111111
0.01,1.6,0.5,102.7,0.0,0.0,0.0,0.0,0.09,0.1,70.66666666666667
0.02,2.6,0.2,102.8,0.013941041163763882,0.022211919687427934,0.0,0.0,0.13,0.14,70.75
0.03,3.3,0.2,102.9,-0.032591464766684744,-0.007231156623578933,0.0,0.0,0.16,0.2,70.80555555555556
0.04,3.8,0.1,102.8,-0.219464825494626,-0.24817274721652088,0.0,0.0,0.12,0.16,70.86111111111111
0.05,4.6,0.1,102.7,-0.37124405420975093,-0.6144106331152065,0.0,0.0,0.17,0.18,70.80555555555556
0.06,5.6,0.5,102.7,-0.32500199061109136,-0.9329059358882991,0.007909462611670416,0.012601953199721062,0.14,0.21,70.83333333333333
0.07,6.3,0.5,102.7,-0.6324765697675796,-1.1095193845676892,-0.012656859410137302,0.005382307770965308,0.12,0.12,70.91666666666667
0.08,6.8,0.2,102.9,-0.6255179161589947,-1.1072441802813082,-0.1400592404634434,-0.14579267610927713,0.17,0.19,70.97222222222221
0.09,7.3,0.2,102.6,-0.4503482392444251,-0.9362192223050749,-0.30667171497068413,-0.45859987290351,0.1,0.27,71.0
0.1,7.8,0.3,102.5,-0.29322851457242827,-0.6345063611399593,-0.3446972197915642,-0.7972537289396026,0.11,0.18,71.0
0.11,8.6,0.3,102.7,-0.12240666030974878,-0.49177666124495545,-0.5026694794357571,-1.0349581705986075,0.14,0.21,71.02777777777777
0.12,9.3,0.1,102.7,0.01165697417858223,-0.22596780502067748,-0.6284263740067138,-1.1081951308723428,0.07,0.23,71.11111111111111
0.13,9.8,0.1,102.7,0.13558568377770902,0.016056756044996515,-0.5231324113773466,-1.0072812360030206,0.08,0.13,71.05555555555556
0.14,10.6,-0.2,102.7,0.0942516383732008,0.02133302730976986,-0.35840000600327765,-0.759653456369715,0.16,0.13,71.05555555555556
0.15,11.6,-0.2,102.9,-0.10505980329458033,-0.2494732000977267,-0.19308874436940132,-0.5508348695130513,0.13,0.22,71.1388888888889
0.16,12.3,0.2,102.9,-0.27271056052842,-0.644772859663169,-0.0433105934050015,-0.3349523654093847,0.15,0.12,71.19444444444444
0.17,12.8,0.2,102.9,-0.5044550377199223,-1.0584135866651667,0.08478430208420126,-0.08315497742396569,0.15,0.09,71.22222222222221
0.18,13.6,0.3,102.9,-0.7094580689429094,-1.4022023404428103,0.11125385986445319,0.01916270181141391,0.16,0.26,71.27777777777779
