Times,Distance,pBrake,rPedal,Zp_FL,Zp_FR,Zp_RL,Zp_RR,Ax,Ay,Car_Speed,DRS_Position
0,0,0.5,102.7,0,0,0,0,0.12,0.15,70.61111111,0
0.01,1.6,0.5,102.7,0,0,0,0,0.13,0.12,70.66666667,0
0.02,2.6,0.2,102.8,0.013941041,0.02221192,0,0,0.15,0.13,70.75,0
0.03,3.3,0.2,102.9,-0.032591465,-0.007231157,0,0,0.14,0.15,70.80555556,0
0.04,3.8,0.1,102.8,-0.219464825,-0.248172747,0,0,0.16,0.17,70.86111111,0
0.05,4.6,0.1,102.7,-0.371244054,-0.614410633,0,0,0.15,0.12,70.80555556,0
0.06,5.6,0.5,102.7,-0.325001991,-0.932905936,0.007909463,0.012601953,0.18,0.13,70.83333333,0
0.07,6.3,0.5,102.7,-0.63247657,-1.109519385,-0.012656859,0.005382308,0.17,0.18,70.91666667,0
0.08,6.8,0.2,102.9,-0.625517916,-1.10724418,-0.14005924,-0.145792676,0.14,0.07,70.97222222,0
0.09,7.3,0.2,102.6,-0.450348239,-0.936219222,-0.306671715,-0.458599873,0.13,0.17,71,0
0.1,7.8,0.3,102.5,-0.293228515,-0.634506361,-0.34469722,-0.797253729,0.12,0.19,71,0
0.11,8.6,0.3,102.7,-0.12240666,-0.491776661,-0.502669479,-1.034958171,0.1,0.19,71.02777778,0
0.12,9.3,0.1,102.7,0.011656974,-0.225967805,-0.628426374,-1.108195131,0.11,0.15,71.11111111,0
0.13,9.8,0.1,102.7,0.135585684,0.016056756,-0.523132411,-1.007281236,0.12,0.15,71.05555556,0
0.14,10.6,-0.2,102.7,0.094251638,0.021333027,-0.358400006,-0.759653456,0.05,0.09,71.05555556,0
0.15,11.6,-0.2,102.9,-0.105059803,-0.2494732,-0.193088744,-0.55083487,0.07,0.14,71.13888889,0
0.16,12.3,0.2,102.9,-0.272710561,-0.64477286,-0.043310593,-0.334952365,0.18,0.11,71.19444444,0
0.17,12.8,0.2,102.9,-0.504455038,-1.058413587,0.084784302,-0.083154977,0.08,0.1,71.22222222,0
0.18,13.6,0.3,102.9,-0.709458069,-1.40220234,0.11125386,0.019162702,0.12,0.15,71.27777778,0
0.19,14.3,0.3,102.7,-0.914053233,-1.638761566,-0.023685076,-0.138908635,0.32,0.09,71.30555556,0
0.2,14.8,0.4,102.7,-0.888878679,-1.664644823,-0.204959426,-0.485024101,0.1,0.12,71.36111111,0
0.21,15.6,0.4,102.8,-0.68834476,-0.888006771,-0.411362396,-0.892252527,0.13,0.21,71.36111111,0
0.22,16.6,-0.2,102.8,-0.317464015,-0.468577896,-0.627671639,-1.265047028,0.08,0.19,71.36111111,0
0.23,17.3,-0.2,102.7,-0.213771041,-0.106164542,-0.83292102,-1.544954004,0.08,0.25,71.33333333,0
0.24,17.8,0.1,102.8,0.008209737,0.022180749,-0.89879232,-1.654452098,0.13,0.15,71.41666667,0
0.25,18.6,0.1,102.6,0.169056608,0.355247263,-0.767043981,-1.19279715,0.1,0.18,71.44444444,0
0.26,19.3,-0.2,102.7,0.173298301,0.260540524,-0.463015579,-0.633182097,0.12,0.15,71.55555556,0
0.27,19.8,-0.2,102.6,0.159273936,0.16585851,-0.254572758,-0.248769064,0.07,0.15,71.47222222,0
0.28,20.6,0.3,102.9,-0.012096696,-0.122635525,-0.078592849,-0.028006943,0.04,0.18,71.55555556,0
0.29,21.6,0.3,102.9,-0.210448716,-0.434772454,0.106650093,0.226021744,0.06,0.17,71.55555556,0
0.3,22.3,0.4,102.7,-0.395340315,-0.718890838,0.171673213,0.296824806,0.1,0.2,71.61111111,0
0.31,22.8,0.4,102.8,-0.507492491,-0.878597414,0.164654529,0.202184246,0.08,0.17,71.61111111,0
0.32,23.6,0.2,102.7,-0.505117382,-0.84290025,0.05344672,-0.012296406,0.33,-0.03,71.58333333,0
0.33,24.3,0.2,102.4,-0.409973078,-0.819919377,-0.134973308,-0.316000475,0.1,0.17,71.66666667,0
0.34,24.8,0.3,102.5,-0.200284369,-0.41179456,-0.325377336,-0.611380445,0.06,0.25,71.75,0
0.35,25.6,0.3,102.8,-0.089653092,-0.168819013,-0.465198331,-0.818369822,0.13,0.19,71.69444444,0
0.36,26.6,0,102.5,-0.073216958,0.225691302,-0.506015578,-0.856399855,0.12,0.1,71.75,0
0.37,27.3,0,102.8,0.296723832,0.703772541,-0.445712468,-0.828551763,0.09,0.15,71.75,0
0.38,27.8,0.2,102.6,0.641111046,1.225502306,-0.277978922,-0.563014316,0.12,0.18,71.75,0
0.39,28.6,0.2,102.7,1.028291212,1.818000415,-0.130671984,-0.258907348,0.15,0.14,71.75,0
0.4,29.3,0,102.7,1.131055037,1.558647781,-0.079296574,0.079764584,0.07,0.22,71.80555556,0
0.41,29.8,0,102.6,1.068263228,1.180069991,0.160348447,0.52753214,0.05,0.32,71.80555556,0
0.42,30.6,-0.2,102.7,0.613048105,0.654612667,0.51415576,1.033171264,0.11,0.15,71.88888889,0
0.43,31.6,-0.2,102.5,0.167623554,-0.07139269,0.885560684,1.599581252,0.1,0.1,71.94444444,0
0.44,32.3,0,102.4,-0.243043232,-0.726947518,1.093392106,1.653700493,0.16,0.22,72.05555556,0
0.45,32.8,0,102.7,-0.509380118,-1.222824343,1.091198635,1.318349739,0.14,0.1,71.97222222,0
0.46,33.6,0,102.7,-0.728166574,-1.57318018,0.777850949,0.844845497,0.1,0.07,72.05555556,0
0.47,34.3,0,102.4,-0.857720129,-1.832894774,0.327103128,0.188545889,0.07,0.19,72.05555556,0
0.48,34.8,0.5,102.5,-0.994524177,-1.995350375,-0.098289863,-0.495875093,0.07,0.11,72.11111111,0
0.49,35.6,0.5,102.6,-1.053323888,-1.407432631,-0.415263965,-1.047595068,0.07,0.11,72.13888889,0
0.5,36.6,0.3,102.6,-1.084695094,-1.197705754,-0.651178237,-1.449894151,0.04,0.14,72.19444444,0
0.51,37.3,0.3,102.5,-0.700509721,-0.864659189,-0.812361402,-1.74196463,0.04,0.15,72.22222222,0
0.52,37.8,-0.1,102.5,-0.350750235,-0.41199253,-0.946925903,-1.938827148,0.02,0.13,72.22222222,0
0.53,38.6,-0.1,102.6,0.019793232,0.080022805,-1.032998648,-1.610657604,0.03,0.2,72.25,0
0.54,39.6,-0.1,102.5,0.272196021,0.456829445,-1.073938116,-1.269619705,0.06,0.15,72.27777778,0
0.55,40.3,-0.1,102.5,0.446185888,0.696659151,-0.831380842,-0.978110092,0.02,0.21,72.30555556,0
0.56,40.8,0.1,102.6,0.537101488,0.77938699,-0.469695365,-0.565934015,0.07,0.15,72.30555556,0
0.57,41.6,0.1,102.5,0.491278872,0.45682804,-0.10581134,-0.086757563,0.11,0.12,72.33333333,0
0.58,42.3,0.3,102.7,0.244867859,0.219924313,0.187059711,0.329731297,0.07,0.12,72.30555556,0
0.59,42.8,0.3,102.7,0.070672351,-0.102312479,0.387788956,0.616164124,0.08,0.2,72.36111111,0
0.6,43.6,-0.3,102.6,-0.119977098,-0.429498329,0.506637951,0.751666966,0.1,0.15,72.44444444,0
0.61,44.6,-0.3,102.4,-0.288478495,-0.744455469,0.506582074,0.5645518,0.11,0.14,72.44444444,0
0.62,45.3,0.4,102.4,-0.400618548,-1.021374121,0.327296782,0.299172877,0.09,0.13,72.47222222,0
0.63,45.8,0.4,102.5,-0.514389088,-1.140392474,0.128654105,0.004945478,0.18,0.05,72.5,0
0.64,46.6,0.5,102.4,-0.538148834,-1.127457926,-0.057367787,-0.322050441,0.09,0.13,72.58333333,0
0.65,47.3,0.5,102.4,-0.458847767,-1.07531929,-0.233418338,-0.641538876,0.12,0.25,72.52777778,0
0.66,47.8,0.3,102.6,-0.287247612,-0.563457783,-0.364100649,-0.931196821,0.12,0.18,72.5,0
