Times,Distance,pBrake,rPedal,Zp_FL,Zp_FR,Zp_RL,Zp_RR,Ax,Ay,Car_Speed,DRS_Position
0,0,0.5,102.7,0,0,0,0,0.11,0.24,70.61111111,98.8
0.01,1.6,0.5,102.7,0,0,0,0,0.09,0.1,70.66666666666667,98.8
0.02,2.6,0.2,102.8,0.013941041163763882,0.022211919687427934,0,0,0.13,0.14,70.75,98.9
0.03,3.3,0.2,102.9,-0.032591465,-0.007231157,0,0,0.16,0.2,70.80555555555556,99.1
0.04,3.8,0.1,102.8,-0.219464825,-0.248172747,0,0,0.12,0.16,70.86111111111111,98.9
0.05,4.6,0.1,102.7,-0.371244054,-0.614410633,0,0,0.17,0.18,70.80555555555556,99.1
0.06,5.6,0.5,102.7,-0.325001991,-0.932905936,0.007909463,0.012601953199721062,0.14,0.21,70.83333333333333,99.2
0.07,6.3,0.5,102.7,-0.63247657,-1.109519385,-0.012656859,0.005382308,0.12,0.12,70.91666666666667,99.1
0.08,6.8,0.2,102.9,-0.625517916,-1.10724418,-0.14005924,-0.145792676,0.17,0.19,70.97222222222221,99.1
0.09,7.3,0.2,102.6,-0.450348239,-0.936219222,-0.306671715,-0.458599873,0.1,0.27,71,98.9
0.1,7.8,0.3,102.5,-0.293228515,-0.634506361,-0.34469722,-0.797253729,0.11,0.18,71,99
0.11,8.6,0.3,102.7,-0.12240666,-0.491776661,-0.502669479,-1.034958171,0.14,0.21,71.02777777777777,99
0.12,9.3,0.1,102.7,0.011656974,-0.225967805,-0.628426374,-1.108195131,0.07,0.23,71.11111111111111,99
0.13,9.8,0.1,102.7,0.13558568377770902,0.016056756044996515,-0.523132411,-1.007281236,0.08,0.13,71.05555555555556,99.1
0.14,10.6,-0.2,102.7,0.094251638,0.021333027,-0.358400006,-0.759653456,0.16,0.13,71.05555555555556,99.2
0.15,11.6,-0.2,102.9,-0.105059803,-0.2494732,-0.193088744,-0.55083487,0.13,0.22,71.13888889,99.1
0.16,12.3,0.2,102.9,-0.272710561,-0.64477286,-0.043310593,-0.334952365,0.15,0.12,71.19444444444444,99.1
0.17,12.8,0.2,102.9,-0.504455038,-1.058413587,0.084784302,-0.083154977,0.15,0.09,71.22222222222221,99
0.18,13.6,0.3,102.9,-0.709458069,-1.40220234,0.11125385986445319,0.019162702,0.16,0.26,71.27777777777779,99.1
0.19,14.3,0.3,102.7,-0.914053233,-1.638761566,-0.023685076,-0.138908635,0.16,0.14,71.30555555555556,99.1
0.2,14.8,0.4,102.7,-0.888878679,-1.664644823,-0.204959426,-0.485024101,0.09,0.19,71.36111111,99.1
0.21,15.6,0.4,102.8,-0.68834476,-0.888006771,-0.411362396,-0.892252527,0.11,0.29,71.36111111,99.2
0.22,16.6,-0.2,102.8,-0.317464015,-0.468577896,-0.627671639,-1.265047028,0.24,0.12,71.36111111,99.1
0.23,17.3,-0.2,102.7,-0.213771041,-0.106164542,-0.83292102,-1.544954004,0.12,0.15,71.33333333333333,99
0.24,17.8,0.1,102.8,0.008209737,0.022180749274983442,-0.89879232,-1.654452098,0.09,0.26,71.41666666666667,99.2
0.25,18.6,0.1,102.6,0.16905660816419393,0.355247263,-0.767043981,-1.19279715,0.12,0.11,71.44444444444444,98.8
0.26,19.3,-0.2,102.7,0.1732983008801366,0.2605405239825885,-0.463015579,-0.633182097,0.09,0.12,71.55555555555556,98.9
0.27,19.8,-0.2,102.6,0.15927393599406006,0.16585851042043634,-0.254572758,-0.248769064,0.12,0.25,71.47222222222223,98.8
0.28,20.6,0.3,102.9,-0.012096696,-0.122635525,-0.078592849,-0.028006943,0.12,0.19,71.55555555555556,99.1
0.29,21.6,0.3,102.9,-0.210448716,-0.434772454,0.10665009277309478,0.22602174372063036,0.09,0.13,71.55555555555556,98.8
0.3,22.3,0.4,102.7,-0.395340315,-0.718890838,0.17167321300941085,0.29682480561981794,0.09,0.16,71.61111111111111,98.9
0.31,22.8,0.4,102.8,-0.507492491,-0.878597414,0.16465452891190555,0.2021842460782161,0.24,-0.02,71.61111111111111,99.1
0.32,23.6,0.2,102.7,-0.505117382,-0.84290025,0.05344672,-0.012296406,0.12,0.13,71.58333333333333,99.1
0.33,24.3,0.2,102.4,-0.409973078,-0.819919377,-0.134973308,-0.316000475,0.14,0.18,71.66666666666667,99.1
0.34,24.8,0.3,102.5,-0.200284369,-0.41179456,-0.325377336,-0.611380445,0.1,0.21,71.75,99.1
0.35,25.6,0.3,102.8,-0.089653092,-0.168819013,-0.465198331,-0.818369822,0.07,0.15,71.69444444444444,99.1
0.36,26.6,0,102.5,-0.073216958,0.22569130178475727,-0.506015578,-0.856399855,0.16,0.18,71.75,98.9
0.37,27.3,0,102.8,0.2967238319870878,0.7037725409620624,-0.445712468,-0.828551763,0.19,0.16,71.75,98.8
0.38,27.8,0.2,102.6,0.6411110463859554,1.2255023064555606,-0.277978922,-0.563014316,0.1,0.06,71.75,99.1
0.39,28.6,0.2,102.7,1.0282912120116732,1.8180004154839249,-0.130671984,-0.258907348,0.09,0.09,71.75,99.2
0.4,29.3,0,102.7,1.1310550366694783,1.558647781,-0.079296574,0.079764584,0.11,0.22,71.80555555555556,98.9
0.41,29.8,0,102.6,1.068263228266675,1.1800699906272334,0.16034844671096585,0.5275321398994864,0.11,0.16,71.80555555555556,99
0.42,30.6,-0.2,102.7,0.6130481051851026,0.6546126670317549,0.5141557596842115,1.0331712639844366,0.13,0.14,71.88888888888889,99.1
0.43,31.6,-0.2,102.5,0.1676235537874021,-0.07139269,0.885560684,1.5995812519466375,0.15,0.19,71.94444444444444,99.1
0.44,32.3,0,102.4,-0.243043232,-0.726947518,1.0933921063430683,1.6537004929551966,0.14,0.08,72.05555555555554,99
0.45,32.8,0,102.7,-0.509380118,-1.222824343,1.0911986346473044,1.3183497391727323,0.17,0.23,71.97222222222223,99.1
0.46,33.6,0,102.7,-0.728166574,-1.57318018,0.7778509491104171,0.8448454973993025,0.19,0.15,72.05555555555554,99.1
0.47,34.3,0,102.4,-0.857720129,-1.832894774,0.327103128,0.18854588912754405,0.12,0.11,72.05555555555554,99.1
0.48,34.8,0.5,102.5,-0.994524177,-1.995350375,-0.098289863,-0.495875093,0.11,0.1,72.11111111111111,98.8
0.49,35.6,0.5,102.6,-1.053323888,-1.407432631,-0.415263965,-1.047595068,0.06,0.12,72.13888888888889,98.9
0.5,36.6,0.3,102.6,-1.084695094,-1.197705754,-0.651178237,-1.449894151,0.07,0.06,72.19444444444444,99.1
0.51,37.3,0.3,102.5,-0.700509721,-0.864659189,-0.812361402,-1.74196463,0.04,0.13,72.22222222222221,98.9
0.52,37.8,-0.1,102.5,-0.350750235,-0.41199253,-0.946925903,-1.938827148,0.04,0.25,72.22222222222221,99.1
0.53,38.6,-0.1,102.6,0.019793232,0.080022805,-1.032998648,-1.610657604,0.02,0.08,72.25,99.1
0.54,39.6,-0.1,102.5,0.2721960210871415,0.45682944546626353,-1.073938116,-1.269619705,0.03,0.15,72.27777777777777,99.3
0.55,40.3,-0.1,102.5,0.4461858879381977,0.6966591510141622,-0.831380842,-0.978110092,0.09,0.23,72.30555555555556,99.1
0.56,40.8,0.1,102.6,0.5371014883401543,0.7793869899799499,-0.469695365,-0.565934015,0.04,0.14,72.30555555555556,99.1
0.57,41.6,0.1,102.5,0.4912788724452708,0.4568280395696576,-0.10581134,-0.086757563,0.12,0.1,72.33333333333333,99.1
0.58,42.3,0.3,102.7,0.24486785912106815,0.21992431256737588,0.18705971068717456,0.3297312971824818,0.15,0.18,72.30555555555556,99.1
0.59,42.8,0.3,102.7,0.070672351,-0.102312479,0.3877889558462534,0.6161641240221543,0.11,0.12,72.36111111111111,99.1
