Time (s),z_FL (m),z_FR (m),z_RL (m),z_RR (m)
0,2.32E-06,2.23E-05,-5.00E-05,-2.97E-07
0.01,4.62E-06,1.40E-05,-4.85E-05,-2.97E-07
0.02,8.30E-06,6.89E-06,-4.59E-05,-2.97E-07
0.03,1.33E-05,1.39E-06,-4.24E-05,-2.97E-07
0.04,1.91E-05,-2.56E-06,-3.81E-05,-2.97E-07
0.05,2.52E-05,-5.40E-06,-3.27E-05,-2.97E-07
0.06,3.07E-05,-7.76E-06,-2.61E-05,-2.97E-07
0.07,3.51E-05,-1.03E-05,-1.88E-05,-2.97E-07
0.08,3.77E-05,-1.33E-05,-1.10E-05,-2.97E-07
0.09,3.84E-05,-1.68E-05,-3.47E-06,-2.96E-07
0.1,3.72E-05,-2.04E-05,3.48E-06,-2.96E-07
0.11,3.49E-05,-2.35E-05,9.70E-06,-2.96E-07
0.12,3.20E-05,-2.55E-05,1.53E-05,-2.96E-07
0.13,2.92E-05,-2.60E-05,2.03E-05,-2.96E-07
0.14,2.70E-05,-2.48E-05,2.48E-05,-2.96E-07
0.15,2.54E-05,-2.23E-05,2.87E-05,-2.96E-07
0.16,2.42E-05,-1.90E-05,3.19E-05,-2.96E-07
0.17,2.31E-05,-1.50E-05,3.40E-05,-2.96E-07
0.18,2.16E-05,-1.07E-05,3.51E-05,-2.96E-07
0.19,1.96E-05,-5.85E-06,3.53E-05,-2.96E-07
0.2,1.69E-05,-4.20E-07,3.51E-05,-2.96E-07
0.21,1.37E-05,5.70E-06,3.49E-05,-2.96E-07
0.22,1.04E-05,1.23E-05,3.52E-05,-2.96E-07
0.23,7.45E-06,1.88E-05,3.62E-05,-2.96E-07
0.24,5.19E-06,2.45E-05,3.78E-05,-2.96E-07
0.25,3.74E-06,2.88E-05,3.96E-05,-2.96E-07
0.26,3.07E-06,3.13E-05,4.12E-05,-2.96E-07
0.27,3.09E-06,3.17E-05,4.22E-05,-2.96E-07
0.28,3.69E-06,3.02E-05,4.24E-05,-2.96E-07
0.29,4.77E-06,2.74E-05,4.15E-05,-2.96E-07
0.3,6.11E-06,2.36E-05,3.96E-05,-2.96E-07
0.31,7.40E-06,1.93E-05,3.63E-05,-2.95E-07
0.32,8.26E-06,1.48E-05,3.16E-05,-2.95E-07
0.33,8.35E-06,1.02E-05,2.55E-05,-2.95E-07
0.34,7.47E-06,5.76E-06,1.85E-05,-2.95E-07
0.35,5.67E-06,1.78E-06,1.09E-05,-2.95E-07
0.36,3.16E-06,-1.59E-06,3.19E-06,-2.95E-07
0.37,1.58E-07,-4.46E-06,-4.29E-06,-2.95E-07
0.38,-3.24E-06,-7.26E-06,-1.14E-05,-2.95E-07
0.39,-7.07E-06,-1.04E-05,-1.81E-05,-2.95E-07
0.4,-1.13E-05,-1.43E-05,-2.44E-05,-2.95E-07
0.41,-1.59E-05,-1.89E-05,-3.01E-05,-2.95E-07
0.42,-2.05E-05,-2.39E-05,-3.51E-05,-2.95E-07
0.43,-2.45E-05,-2.89E-05,-3.92E-05,-2.95E-07
0.44,-2.75E-05,-3.32E-05,-4.22E-05,-2.95E-07
0.45,-2.91E-05,-3.63E-05,-4.40E-05,-2.95E-07
0.46,-2.95E-05,-3.79E-05,-4.44E-05,-2.95E-07
0.47,-2.90E-05,-3.80E-05,-4.34E-05,-2.95E-07
0.48,-2.81E-05,-3.71E-05,-4.13E-05,-2.95E-07
0.49,-2.71E-05,-3.56E-05,-3.83E-05,-2.95E-07
0.5,-2.64E-05,-3.43E-05,-3.47E-05,-2.95E-07
0.51,-2.61E-05,-3.34E-05,-3.10E-05,-2.95E-07
0.52,-2.64E-05,-3.31E-05,-2.78E-05,-2.95E-07
0.53,-2.71E-05,-3.27E-05,-2.54E-05,-2.95E-07
0.54,-2.78E-05,-3.14E-05,-2.40E-05,-2.94E-07
0.55,-2.83E-05,-2.87E-05,-2.39E-05,-2.94E-07
0.56,-2.84E-05,-2.44E-05,-2.49E-05,-2.94E-07
0.57,-2.79E-05,-1.88E-05,-2.67E-05,-2.94E-07
